UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
086785710273,Navarro Correas,Limited Release Merlot,Merlot,Argentina,2001,13,,,www.ncorreas.com,,750ml
086785710310,Bodega San Telmo,San Telmo 2005 Malbec,Malbec,Argentina,2005,,,62,,,
0867857710198,Navarro Correas,Coleccion Privada ,Cabernet Sauvignon,Argentina,1999,11.00,,88,,"a top notch wine selling at a bargain price - Should drink well for 4 - 5 years.  This is a top class, fully mature cab.",750ml
086785781013,,Rosso di Montalcino,Red Wine,Spain,2001,,,,,,
086785810157,Blue Fish,Riesling,Riesling,Germany,2009,9,,89 WW,,"Color: Soft gold with green reflections  Bouquet: Seductive perfume of fresh apricot, peaches, and ripe pineapple is a pretty fine wine; easy on the palate with a bounty of ripe apples, peach, and a shade of minerality. ",750ml
086785810232,Blue Fish,Sweet riesling,Riesling,Germany,2009,12,,88 WW,," For a sweet white, the '09 Blue Fish Sweet Riesling is a pretty fine wine; easy on the palate with a bounty of ripe apples, peach, and a shade of minerality.",750ml
086788000470,Hahn Winery,GSM Red Wine Blend,Red Wine,Bay Area/Central Coast,2009,$11,,,,,
086788000906,Hahn Winery,Smith&Hook Cabernet,Cabernet Sauvignon,Bay Area/Central Coast,2001,,,, www.hahnestates.com,,750ml
086788001118,Hahn Estates Winery,California Red Flyer,Red Wine,Bay Area/Central Coast,2003,6,,87,http://www.wimbledonwine.com; www.redflyerwine.com ,"13.5% alc.; It's totally dry, with plummy-coffee flavors and sturdy tannins [WE 11/2005]",750ml
086788014477,Hahn Winery,,Pinot Gris,Bay Area/Central Coast,2007,$16.20,,,,,750ml
086788111022,Hahn Winery,Syrah,Syrah,Bay Area/Central Coast,2002,,,,www.hahnestates.com,,750ml
086788111909,Hahn Winery,,,Bay Area/Central Coast,1995,,,,,,
086788333332,Hahn Winery,Rex - Goliath,Shiraz,Bay Area/Central Coast,2005,Gift,,,,,
086788333578,Hahn Winery,Cycles Gladiator,Syrah,Bay Area/Central Coast,2004,9.99,,,,,750ml
086788333967,Hahn Winery,Meritage,Cabernet Sauvignon Blend,Bay Area/Central Coast,1999,18,,,,,750ml
086788444007,Hahn Winery,Pinot Gris,Pinot Gris,Bay Area/Central Coast,2004,,,,,,750ml
086788555901,Hahn Winery,Hahn Chardonnay,Chardonnay,Bay Area/Central Coast,2003,,,,www.hahnestates.com,,750ml
086788555994,Hahn Winery,Rex Goliath Giant 47 Pound Roaster,Chardonnay,Bay Area/Central Coast,2002,6.99,,,,,750ml
086788666577,Cycles Winery,,Cabernet Sauvignon,Bay Area/Central Coast,2004,10.00,,,,,750ml
086788666881,Hahn Winery,Hahn Estates Cabernet,Cabernet Sauvignon,Bay Area/Central Coast,2002,11.99,,,,,750ml
086788666997,HRM,Rex-Goliath Giant 47 Pound Rooster,Cabernet Sauvignon,Bay Area/Central Coast,,5.99,,,,,750ml
086788700011,Telegraph Peak Winery,Telegraph Peak,Cabernet Sauvignon,Sonoma,2002,23,,,,"The grapes for this killer Sonoma Cabernet come from some of the best single vineyards in the Alexander Valley and Dry Creek Valley. It&#8217;s ultra-ripe with potent blueberry and blackberry flavors, hints of sweet oak and a lingering finish. Showing beautifully now, this lush Cabernet Sauvignon will offer exceptional drinking pleasure for years to come. ",750ml
086788701278,Sandholdt Winery,Sandholt Petite Sirah,Petite Sirah,Bay Area/Central Coast,2005,,,,,,750ml
086788777891,Hahn Winery,Hahn Estate Merlot,Merlot,Bay Area/Central Coast,1998,11.68,,,,,750ml
086788777990,HRM Rex Goliath!,Central Coast,Merlot,Bay Area/Central Coast,NV,5.99,,84 WS,,"Grape Tray; Lean and herbal, with eucalyptus and black cherry notes, but a successful Merlot at a reasonable price. 5,000 cases ",750ml
086788888023,Hahn Winery,,Pinot Noir,Bay Area/Central Coast,2003,,,,,,750ml
086788888573,Cycles Gladiator,,Pinot Noir,Bay Area/Central Coast,2005,13.00,,,,,750ml
086788888993,Hahn Winery,Rex Goliath Central Coast Pinot Noir,Pinot Noir,Bay Area/Central Coast,2001,8.49,,,,The Rooster,
086809280003,Le Troncey,Montagny 1er Cru,Chardonnay,Cote de Beaune,2005,13.59,,,,,750ml
086816801444,Meier's,Meier's Sparkling Spumante,Sparkling Wine,,,,,,,,750ml
